STT,Question,Label
1,Vì sao mèo ăn những vật thể lạ?,Why
2,Bạn đã chạy được bao nhiêu km trong tuần này?,Quantity
3,"Tôi tính làm tủ áo cánh kính cửa lùa, có nên làm cửa lùa không nhỉ hay làm cửa cánh thôi?",Yes/No
4,Cách phòng ngừa và điều trị Búi lông “Hairball” của mèo?,How
5,Bạn đã tham gia bao nhiêu buổi tư vấn nghề nghiệp trong năm nay?,Quantity
6,Nhóm của bạn đã tổ chức bao nhiêu sự kiện trong năm nay?,Quantity
7,Bạn đã sửa bao nhiêu bài tập cho học sinh trong tuần này?,Quantity
8,Bạn đã thử bao nhiêu món ăn đường phố trong chuyến du lịch vừa qua?,Quantity
9,Có nên làm tủ quần áo cánh kính không?,Yes/No
10,Bạn đã đăng bao nhiêu bài viết lên blog cá nhân?,Quantity
11,Bạn đã nộp bao nhiêu bài tập cho giảng viên trong học kỳ này?,Quantity
12,Đại học Bách Khoa Hà Nội có bao nhiêu ngành?,Quantity
13,Bạn đã gặp gỡ bao nhiêu đối tác mới trong dự án vừa qua?,Quantity
14,Bạn đã tham gia bao nhiêu hoạt động ngoại khóa trong học kỳ này?,Quantity
15,Đồ chơi 39K có nên mua cho bé?,Yes/No
16,Báo giá đá tự nhiên lát sân vườn?,Quantity
17,Sâm tươi Hàn Quốc thích hợp cho gia đình?,Yes/No
18,Giá đá bazan bao nhiêu?,Quantity
19,Có bao nhiêu bài tập bạn cần hoàn thành trước kỳ thi?,Quantity
20,Thuê xe đi Ninh Thuận giá bao nhiêu ? ,Quantity
21,Tác giả của bộ truyện “Harry Potter” là ai?,Who
22,Những lý do vì sao nên chọn du học Phần Lan,Why
23,Ẩn comment khách như thế nào?,How
24,Tại sao acid hữu cơ chỉ tiêu diệt vi khuẩn bệnh mà không tiêu diệt vi khuẩn có ích?,Why
25,"Giải pháp lưu trữ hồ sơ, tài liệu?",How
26,Công ty bạn đã ký được bao nhiêu hợp đồng trong tháng này?,Quantity
27,Các chuyên gia ước tính lợi nhuận khi giao dịch nhị phân bằng phương pháp nào?,How
28,Mua laptop Intel Core i5 là đủ hay thêm tý để có hẳn i7?,Yes/No
29,"Gian bếp nhà mình khá hẹp, mình không biết nên trang trí sao cho đẹp?",How
30,Bạn đã gửi bao nhiêu lời mời kết bạn trên mạng xã hội tuần qua?,Quantity
31,Bạn đã hoàn thành bao nhiêu câu hỏi trong bài kiểm tra online?,Quantity
32,Làm sao để nhuộm tóc màu khói?,How
33,Bạn đã học được bao nhiêu bài học từ khóa học trực tuyến?,Quantity
34,Tại sao chúng ta cần tái chế rác thải nhựa?,Why
35,Nguyên nhân chính dẫn đến bệnh tiểu đường?,Why
36,Có bao nhiêu cuốn sách trên kệ sách của bạn?,Quantity
37,Trong tháng này bạn đã tiết kiệm được bao nhiêu tiền?,Quantity
38,Bạn đã đạt được bao nhiêu giải thưởng trong các cuộc thi quốc gia?,Quantity
39,Ai là người sáng lập công ty Microsoft?,Who
40,Tại sao cây xanh giúp giảm nhiệt độ môi trường? ,Why
41,Bí thư Đoàn trường Điện - Điện tử là ai?,Who
42,Sông Hương chảy qua địa phương nào?,Where
43,Thành phố Hồ Chí Minh thuộc miền nào của Việt Nam?,Where
44,Di tích Cố đô Huế thuộc tỉnh nào?,Where
45,Ngôn ngữ lập trình nào phổ biến nhất trong năm 2024? ,What
46,Vì sao trẻ em cần ngủ đủ giấc mỗi ngày?,Why
47,Khi nào ngày lễ Quốc khánh Việt Nam diễn ra?,When
48,Năm nào đánh dấu sự ra đời của máy tính đầu tiên?,When
49,Tại sao việc tập thể dục đều đặn lại quan trọng?,Why
50,Đại học Bách Khoa Hà Nội thành lập năm nào?,When
51,Tại sao rừng nhiệt đới được gọi là “lá phổi của Trái Đất”?,Why
52,Khi mua một màn hình LCD cũ thì cần kiểm tra như thế nào?,How
53,Hướng dẫn để cài đặt phần mềm trên máy tính?,How
54,Bạn thân nhất của bạn là ai?,Who
55,Nguyễn Ái Quốc là ai trong lịch sử Việt Nam?,Who
56,Địa điểm tổ chức Sea Games lần thứ 31 là ở đâu?,Where
57,Khi nào xuất hiện hiện tượng nguyệt thực tiếp theo?,When
58,Tại sao việc học online ngày càng trở nên phổ biến?,Why
59,Cách để học tốt môn toán?,How
60,Chiếc túi này nhìn thế nào nhỉ?,How
61,Buổi sáng nay bạn đã ăn gì chưa?,Yes/No
62,Căn hộ này có view ra biển hay không?,Yes/No
63,Ánh sáng trong phòng có đủ để đọc sách không?,Yes/No
64,Lớp Giải tích 1 chiều nay bắt đầu lúc mấy giờ?,When
65,Người mới đến văn phòng hôm qua tên gì?,Who
66,Mẫu thiết kế này hợp với phong cách nào?,What
67,Số điện thoại bạn lưu hôm qua đâu rồi?,Where
68,Cái bánh bao này ai làm thế?,Who
69,Đợt khuyến mãi kéo dài đến bao giờ?,When
70,Bữa tiệc sắp tới sẽ tổ chức ở?,Where
71,Cách làm món chè này có khó không?,Yes/No
72,Lịch trình chuyến đi đã được chốt chưa?,Yes/No
73,Mẫu xe đạp điện này bao nhiêu tiền?,Quantity
74,Địa điểm hẹn hò tối nay đã được chọn chưa?,Yes/No
75,Chỗ nào bán hoa tươi vào sáng sớm?,Where
76,Cuộc họp hôm qua kết quả ra sao?,How
77,Hợp đồng mới đã ký kết chưa?,Yes/No
78,Phần quà này có gì đặc biệt?,What
79,Hành lý của bạn đã chuẩn bị đầy đủ chưa?,Yes/No
80,Bức tranh treo ở phòng khách của ai vẽ?,Who
81,Tạp chí này số mới nhất có bài viết gì hay?,What
82,Bé nhà bạn dạo này có khỏe không?,Yes/No
83,Cách nào để sắp xếp thời gian hiệu quả hơn?,How
84,Bộ phim sắp tới có phải do đạo diễn nổi tiếng thực hiện?,Yes/No
85,Cuốn sách này thuộc thể loại gì?,What
86,Sản phẩm này xuất xứ từ nước nào?,Where
87,Lớp học yoga có còn chỗ trống không?,Yes/No
88,Giày thể thao mới của bạn có bền không?,Yes/No
89,Quá trình vận chuyển hàng hóa diễn ra thế nào?,How
90,Chuyến du lịch mùa hè này có gì thú vị?,What
91,Công việc hiện tại có đáp ứng được mong muốn của bạn không?,Yes/No
92,Quyển sổ tay này bạn mua ở đâu vậy?,Where
93,Nhóm trưởng có đưa ra kế hoạch cụ thể chưa?,Yes/No
94,Bạn dự định tham gia sự kiện nào vào tuần tới?,What
95,"Bài hát này nghe rất quen, do ai sáng tác?",Who
96,Mèo có cần tiêm vaccine định kỳ không?,Yes/No
97,Sự kiện lần này có nhiều người tham dự không?,Yes/No
98,Công viên gần đây có tổ chức hội chợ cuối tuần không?,Yes/No
99,Kỳ nghỉ lễ này bạn dự định làm gì?,What
100,Mẫu điện thoại này có tính năng mới nào hấp dẫn?,What
101,Áo sơ mi này chất liệu có mát không?,Yes/No
102,Công trình kiến trúc này được xây dựng từ năm nào?,When
103,Bài thuyết trình này có cần thêm hình ảnh minh họa không?,Yes/No
104,Tình hình thời tiết cuối tuần này thế nào?,How
105,Món quà tặng sếp nhân dịp sinh nhật nên chọn gì?,What
106,Bạn đã nộp bài tập đúng hạn chưa?,Yes/No
107,Dự định năm tới của bạn là gì?,What
108,Ai đã giành giải thưởng Nobel năm nay?,Who
109,Khi nào kỳ thi học kỳ bắt đầu?,When
110,Ở đâu có thể thuê xe đạp giá rẻ?,Where
111,Tại sao cá có thể sống trong nước?,Why
112,Bạn muốn chọn căn hộ này hay căn hộ kia?,What
113,Có phải bạn đã hoàn thành dự án trước thời hạn không?,Yes/No
114,Bao nhiêu chiếc xe máy được bán mỗi tháng tại cửa hàng này?,Quantity
115,Cách nào để quản lý thời gian hiệu quả hơn?,How
116,Ai là người đại diện công ty trong buổi họp hôm qua?,Who
117,Chỗ nào tổ chức các lớp học miễn phí?,Where
118,Khi nào bạn sẽ nghỉ phép?,When
119,Tại sao học tiếng Anh lại quan trọng?,Why
